date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:59:12	29984/29984	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Oct%202022%2018:26:24%20GMT	https://commons.wikimedia.org/wiki/User:Aash_Gates	C:/My%20Web%20Sites/Aash%20Wiki/commons.wikimedia.org/wiki/User_Aash_Gates.html	(from )
23:59:12	4100/4100	---M-Z	200	added ('OK')	text/plain	date:Tue,%2012%20Nov%202019%2017:07:56%20GMT	https://commons.wikimedia.org/robots.txt		(from )
23:59:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2015%20Oct%202022%2018:29:13%20GMT	https://commons.wikimedia.org/wiki/skins.vector.legacy.js	C:/My%20Web%20Sites/Aash%20Wiki/commons.wikimedia.org/wiki/skins.vector.legacy.1.delayed	(from https://commons.wikimedia.org/wiki/User:Aash_Gates)
23:59:13	19233/19233	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Oct%202022%2018:29:13%20GMT	https://commons.wikimedia.org/wiki/Skins.vector.legacy.js	C:/My%20Web%20Sites/Aash%20Wiki/commons.wikimedia.org/wiki/Skins.vector.legacy.2.delayed	(from https://commons.wikimedia.org/wiki/User:Aash_Gates)
23:59:14	4027/4027	---M--	200	added ('OK')	image/png	etag:%22fbb-5a6b046455e42%22	https://commons.wikimedia.org/static/apple-touch/commons.png	C:/My%20Web%20Sites/Aash%20Wiki/commons.wikimedia.org/static/apple-touch/commons.png	(from https://commons.wikimedia.org/wiki/User:Aash_Gates)
23:59:15	77228/77228	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Oct%202022%2018:19:18%20GMT	https://commons.wikimedia.org/wiki/File:Aashik_having_Tea.png	C:/My%20Web%20Sites/Aash%20Wiki/commons.wikimedia.org/wiki/File_Aashik_having_Tea.html	(from https://commons.wikimedia.org/wiki/User:Aash_Gates)
23:59:15	200564/200564	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Oct%202022%2017:46:43%20GMT	https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Aashik_having_Tea.png/307px-Aashik_having_Tea.png	C:/My%20Web%20Sites/Aash%20Wiki/upload.wikimedia.org/wikipedia/commons/thumb/0/03/Aashik_having_Tea.png/307px-Aashik_having_Tea.png	(from https://commons.wikimedia.org/wiki/User:Aash_Gates)
23:59:16	62652/62652	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Oct%202022%2018:19:18%20GMT	https://commons.wikimedia.org/wiki/File:Aash_With_Teacher.jpg	C:/My%20Web%20Sites/Aash%20Wiki/commons.wikimedia.org/wiki/File_Aash_With_Teacher.html	(from https://commons.wikimedia.org/wiki/User:Aash_Gates)
23:59:16	64830/64830	---M--	200	added ('OK')	image/jpeg	date:Sat,%2015%20Oct%202022%2017:49:51%20GMT	https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Aash_With_Teacher.jpg/464px-Aash_With_Teacher.jpg	C:/My%20Web%20Sites/Aash%20Wiki/upload.wikimedia.org/wikipedia/commons/thumb/5/57/Aash_With_Teacher.jpg/464px-Aash_With_Teacher.jpg	(from https://commons.wikimedia.org/wiki/User:Aash_Gates)
23:59:17	61869/61869	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Oct%202022%2018:19:18%20GMT	https://commons.wikimedia.org/wiki/File:Aash_Gates_at_EPCET.jpg	C:/My%20Web%20Sites/Aash%20Wiki/commons.wikimedia.org/wiki/File_Aash_Gates_at_EPCET.html	(from https://commons.wikimedia.org/wiki/User:Aash_Gates)
23:59:17	53071/53071	---M--	200	added ('OK')	image/jpeg	date:Sat,%2015%20Oct%202022%2018:13:30%20GMT	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Aash_Gates_at_EPCET.jpg/609px-Aash_Gates_at_EPCET.jpg	C:/My%20Web%20Sites/Aash%20Wiki/upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Aash_Gates_at_EPCET.jpg/609px-Aash_Gates_at_EPCET.jpg	(from https://commons.wikimedia.org/wiki/User:Aash_Gates)
